"COURSE ENROLLMENTS BY DISTRICT BY COURSE",,,,
"SCHOOL YEAR 2015-16",,,,
"SURVEY 2 DATA AS OF 11/13/2015",,,,
,,,,
"DIST #","DISTRICT NAME","COURSE #","COURSE NAME",ENROLLMENT
01,ALACHUA,1303000,"M/J CHORUS 1",270
01,ALACHUA,1303010,"M/J CHORUS 2",118
01,ALACHUA,1303020,"M/J CHORUS 3",39
01,ALACHUA,1303300,"CHORUS 1",87
01,ALACHUA,1303310,"CHORUS 2",16
01,ALACHUA,1303320,"CHORUS 3",3
01,ALACHUA,1303330,"CHORUS 4",2
01,ALACHUA,1303440,"VOCAL ENS 1",17
01,ALACHUA,1303450,"VOCAL ENS 2",3
01,ALACHUA,1303460,"VOCAL ENS 3",12
01,ALACHUA,1303470,"VOCAL ENS 4 HON",2
01,ALACHUA,1305300,"EURHY 1",11
01,ALACHUA,1305310,"EURHY 2",15
01,ALACHUA,1305320,"EURHY 3",2
01,ALACHUA,1305330,"EURHY 4",3
01,ALACHUA,1400000,"M/J PEER COUN 1",1
01,ALACHUA,1400300,"PEER COUN 1",72
01,ALACHUA,1400320,"PEER COUN 3",28
01,ALACHUA,1500000,"M/J ADAP PE IEP/504",8
01,ALACHUA,1501300,"PERS FIT",98
01,ALACHUA,1501310,"FIT LIFST DESIGN",16
01,ALACHUA,1501340,"WEIGHT TRAIN 1",276
01,ALACHUA,1501350,"WEIGHT TRAIN 2",68
01,ALACHUA,1501360,"WEIGHT TRAIN 3",28
01,ALACHUA,1501410,"POWER WEIGHT TRAIN 1",3
01,ALACHUA,1502410,"INDIV/DUAL SPRTS 1",5
01,ALACHUA,1502430,"INDIV/DUAL SPRTS 3",34
01,ALACHUA,1502480,"OUTDOOR ED",145
01,ALACHUA,1502490,"CARE/PREV OF ATH INJ",39
01,ALACHUA,1503310,BASKETBALL,127
01,ALACHUA,1503315,"BASKETBALL 2",1
01,ALACHUA,1503320,SOCCER,14
