"COURSE ENROLLMENTS",,,,
"2013-14 SURVEY 2 FINAL DATA ",,,,
,,,,
"Dist #",District,"Course #",Course,Enrollment
01,ALACHUA,1007300,"SPEECH 1",8
01,ALACHUA,1007330,"DEBATE 1",39
01,ALACHUA,1007360,"DEBATE 4 HON",9
01,ALACHUA,1008010,"M/J READ 1",603
01,ALACHUA,1008020,"M/J READ 1 ADV",393
01,ALACHUA,1008040,"M/J READ 2",654
01,ALACHUA,1008050,"M/J READ 2 ADV",431
01,ALACHUA,1008070,"M/J READ 3",760
01,ALACHUA,1008080,"M/J READ 3 ADV",330
01,ALACHUA,1008300,"READ 1",17
01,ALACHUA,1008310,"READ 2",7
01,ALACHUA,1008320,"READ HON",71
01,ALACHUA,1008350,"READ COLL. SUCCESS",36
01,ALACHUA,1100220,"M/J LIBR/MEDIA TRAN",11
01,ALACHUA,1200300,"BASIC MATH SKLS",23
01,ALACHUA,1200310,"ALG 1",1130
01,ALACHUA,1200320,"ALG 1 HON",1083
01,ALACHUA,1200330,"ALG 2",1184
01,ALACHUA,1200340,"ALG 2 HON",813
01,ALACHUA,1200370,"ALG 1-A",49
01,ALACHUA,1200380,"ALG 1-B",12
01,ALACHUA,1200400,"INTENS MATH",185
01,ALACHUA,1200500,"ADV ALG W/FIN APP",132
01,ALACHUA,1200700,"Math Coll. Readiness",481
01,ALACHUA,1202300,"CALCULUS HON",25
01,ALACHUA,1202310,"AP CALCULUS AB",183
01,ALACHUA,1202320,"AP CALCULUS BC",91
01,ALACHUA,1202340,"PRE-CALCULUS HON",545
01,ALACHUA,1202352,"AICE MATH 1 AS",64
01,ALACHUA,1202375,"IB PRE-CALCULUS",137
01,ALACHUA,1202800,"IB CALCULUS",23
01,ALACHUA,1204000,"M/J INTENS MATH (MC)",5
01,ALACHUA,1205010,"M/J MATH 1",1002
01,ALACHUA,1205020,"M/J MATH 1 ADV",777
01,ALACHUA,1205040,"M/J MATH 2",1055
01,ALACHUA,1205050,"M/J MATH 2, ADV",722
01,ALACHUA,1205070,"M/J PRE-ALG",995
01,ALACHUA,1205080,"M/J PRE-ALG ADV",515
01,ALACHUA,1205370,"CONSUMER MATH",33
01,ALACHUA,1205500,"EXPLORS IN MATH 1",1
01,ALACHUA,1206310,GEO,1097
01,ALACHUA,1206320,"GEO HON",790
01,ALACHUA,1208300,"LIB ARTS MATH 2",151
01,ALACHUA,1209800,"IB MATH STUDIES",19
01,ALACHUA,1210300,"PROB, STAT W/APPLS H",69
01,ALACHUA,1210320,"AP STAT",129
01,ALACHUA,1300300,"MUS THEORY 1",7
01,ALACHUA,1300330,"AP MUS THEORY",15
01,ALACHUA,1300340,"MUSIC WORLD",23
01,ALACHUA,1300800,"FL PRE-IB MUSIC 1",33
01,ALACHUA,1300820,"IB MUSIC 3",15
01,ALACHUA,1300830,"IB MUSIC 4",8
01,ALACHUA,1301030,"M/J KEYBD 1",4
01,ALACHUA,1301040,"M/J KEYBD 2",1
01,ALACHUA,1301050,"M/J KEYBD 3",8
01,ALACHUA,1301090,"M/J EXPL MUSIC 1",10
01,ALACHUA,1301320,"GUITAR 1",66
01,ALACHUA,1301330,"GUITAR 2",7
01,ALACHUA,1301360,"KEYBD 1",125
01,ALACHUA,1301370,"KEYBD 2",10
01,ALACHUA,1302000,"M/J BAND 1",569
01,ALACHUA,1302010,"M/J BAND 2",344
01,ALACHUA,1302020,"M/J BAND 3",385
01,ALACHUA,1302040,"M/J ORCH 1",39
01,ALACHUA,1302300,"BAND 1",80
01,ALACHUA,1302310,"BAND 2",48
01,ALACHUA,1302320,"BAND 3",75
01,ALACHUA,1302330,"BAND 4",53
01,ALACHUA,1302340,"BAND 5 HON",2
01,ALACHUA,1302380,"ORCH 3",5
01,ALACHUA,1302390,"ORCH 4",4
01,ALACHUA,1302460,"INSTRU ENS 1",14
01,ALACHUA,1302470,"INSTRU ENS 2",12
01,ALACHUA,1302480,"INSTRU ENS 3",7
01,ALACHUA,1302490,"INSTRU ENS 4 HON",1
01,ALACHUA,1302500,"JAZZ ENS 1",15
01,ALACHUA,1302510,"JAZZ ENS 2",5
01,ALACHUA,1302520,"JAZZ ENS 3",1
01,ALACHUA,1302530,"JAZZ ENS 4 HON",1
01,ALACHUA,1303000,"M/J CHORUS 1",115
01,ALACHUA,1303300,"CHORUS 1",94
01,ALACHUA,1303310,"CHORUS 2",14
01,ALACHUA,1303320,"CHORUS 3",3
01,ALACHUA,1303330,"CHORUS 4",1
01,ALACHUA,1303440,"VOCAL ENS 1",6
01,ALACHUA,1303450,"VOCAL ENS 2",7
01,ALACHUA,1305300,"EURHY 1",4
01,ALACHUA,1305310,"EURHY 2",5
01,ALACHUA,1305320,"EURHY 3",2
01,ALACHUA,1400300,"PEER COUN 1",250
01,ALACHUA,1400310,"PEER COUN 2",87
01,ALACHUA,1400320,"PEER COUN 3",16
01,ALACHUA,1400330,"PEER COUN 4",2
01,ALACHUA,1500000,"M/J ADAP PE IEP/504",13
01,ALACHUA,1501300,"PERS FIT",115
01,ALACHUA,1501310,"FIT LIFST DESIGN",16
01,ALACHUA,1501320,"FIT ISSUES FOR ADOL",30
01,ALACHUA,1501340,"WEIGHT TRAIN 1",344
01,ALACHUA,1501350,"WEIGHT TRAIN 2",64
01,ALACHUA,1501360,"WEIGHT TRAIN 3",42
01,ALACHUA,1501410,"POWER WEIGHT TRAIN 1",5
01,ALACHUA,1502480,"OUTDOOR ED",25
01,ALACHUA,1502500,"SPRTS OFFICIATING",34
01,ALACHUA,1503310,BASKETBALL,179
01,ALACHUA,1503350,"TEAM SPRTS 1",337
01,ALACHUA,1503360,"TEAM SPRTS 2",32
01,ALACHUA,1505500,"VOLLEYBALL 1",90
01,ALACHUA,1505510,"VOLLEYBALL 2",12
01,ALACHUA,1505520,"VOLLEYBALL 3",4
01,ALACHUA,1506320,"HOPE-PE V",434
01,ALACHUA,1508600,"M/J COMPRE GRDE 6/7",1083
01,ALACHUA,1508700,"M/J COMPRE GDE 7/8",1473
01,ALACHUA,1700000,"M/J RESEARCH 1",248
01,ALACHUA,1700010,"M/J RESEARCH 2",228
01,ALACHUA,1700020,"M/J RESEARCH 3",117
01,ALACHUA,1700100,"M/J CRIT THINK",223
01,ALACHUA,1700300,"RESEARCH 1",60
01,ALACHUA,1700310,"RESEARCH 2",22
01,ALACHUA,1700320,"RESEARCH 3",16
01,ALACHUA,1700364,"AICE GLBL PERSP 1 AS",7
01,ALACHUA,1700366,"AICE GLBL PERSP 2 PU",5
01,ALACHUA,1700370,"CRIT THINK ST SKLS",67
01,ALACHUA,1700374,"AICE THINK SKLS 2 AL",88
01,ALACHUA,1700380,"CAR RESA&DECI MAK",20
01,ALACHUA,1800300,"AF AERO SCI 1",49
01,ALACHUA,1800310,"AF AERO SCI 2",46
01,ALACHUA,1800320,"AF AERO SCI 3",19
01,ALACHUA,1800330,"AF AEROSCI 4 LEADDEV",9
01,ALACHUA,1802300,"NAVAL SCI 1",101
01,ALACHUA,1802310,"NAVAL SCI 2",60
01,ALACHUA,1802320,"NAVAL SCI 3",36
01,ALACHUA,1802330,"NAVAL SCI 4",20
01,ALACHUA,1900300,"DRIVER ED CLASS",45
01,ALACHUA,1900310,"DRIVER ED CLASS/LAB",267
01,ALACHUA,2000010,"M/J LIF SCI",1289
01,ALACHUA,2000020,"M/J LIF SCI ADV",656
01,ALACHUA,2000310,"BIO 1",918
01,ALACHUA,2000320,"BIO 1 HON",682
01,ALACHUA,2000321,"AICE BIO 1 AS",34
01,ALACHUA,2000322,"PRE-AICE BIO IG",107
01,ALACHUA,2000340,"AP BIO",214
01,ALACHUA,2000350,"ANAT PHYSIO",297
01,ALACHUA,2000360,"ANAT PHYSIO HON",364
01,ALACHUA,2000800,"FL PRE-IB BIO 1",153
01,ALACHUA,2000810,"IB BIO 2",50
01,ALACHUA,2000820,"IB BIO 3",75
01,ALACHUA,2001010,"M/J ERTH/SPA SCI",1318
01,ALACHUA,2001020,"M/J ERTH/SPA SCI ADV",560
