"COURSE ENROLLMENTS",,,,
"2012-13 SURVEY 3 DATA FINAL",,,,
,,,,
"Dist #",District,"Course #",Course,Enrollment
1,ALACHUA,1008350,"READ COLL. SUCCESS",2
1,ALACHUA,1009300,"WRIT 1",2
1,ALACHUA,1009310,"WRIT 2",49
1,ALACHUA,1100000,"M/J LIB SKLS/INF LIT",6
1,ALACHUA,1100220,"M/J LIBR/MEDIA TRAN",11
1,ALACHUA,1100300,"TV PROD 1",36
1,ALACHUA,1100310,"TV PROD 2",3
1,ALACHUA,1100330,"TV PROD 4 HON",5
1,ALACHUA,1200300,"BASIC MATH SKLS",18
1,ALACHUA,1200310,"ALG 1",1339
1,ALACHUA,1200320,"ALG 1 HON",1010
1,ALACHUA,1200330,"ALG 2",977
1,ALACHUA,1200340,"ALG 2 HON",720
1,ALACHUA,1200370,"ALG 1-A",20
1,ALACHUA,1200380,"ALG 1-B",68
1,ALACHUA,1200400,"INTENS MATH",291
1,ALACHUA,1200500,"ADV ALG W/FIN APP",195
1,ALACHUA,1200700,"Math Coll. Readiness",547
1,ALACHUA,1202300,"CALCULUS HON",36
1,ALACHUA,1202310,"ADV PL CALCULUS AB",133
1,ALACHUA,1202320,"ADV PL CALCULUS BC",81
1,ALACHUA,1202340,"PRE-CALCULUS HON",364
1,ALACHUA,1202352,"AICE MATH 1 AS",69
1,ALACHUA,1202370,"AICE FURTHERMATH 1AL",33
1,ALACHUA,1202375,"IB PRE-CALCULUS",103
1,ALACHUA,1202800,CALCULUS-IB,35
1,ALACHUA,1204000,"M/J INTENS MATH (MC)",78
1,ALACHUA,1205010,"M/J MATH 1",1033
1,ALACHUA,1205020,"M/J MATH 1 ADV",821
1,ALACHUA,1205040,"M/J MATH 2",1032
1,ALACHUA,1205050,"M/J MATH 2, ADV",786
1,ALACHUA,1205070,"M/J PRE-ALG",934
1,ALACHUA,1205080,"M/J PRE-ALG, ADV",586
1,ALACHUA,1205370,"CONSUMER MATH",2
1,ALACHUA,1205500,"EXPLORS IN MATH 1",27
1,ALACHUA,1206310,GEO,1019
1,ALACHUA,1206320,"GEO HON",745
1,ALACHUA,1207310,"INTEG MATH 1",33
1,ALACHUA,1207320,"INTEG MATH 2",14
1,ALACHUA,1207330,"INTEG MATH 3",82
1,ALACHUA,1208300,"LIB ARTS MATH",208
1,ALACHUA,1209800,"MATH STUDIES-IB",21
1,ALACHUA,1210300,"PROB, STAT W/APPLS H",27
1,ALACHUA,1210320,"ADV PL STAT",182
1,ALACHUA,1300330,"ADV PL MUS THEORY",18
1,ALACHUA,1300400,"MUS THEA 1",39
1,ALACHUA,1300410,"MUS THEA 2",40
1,ALACHUA,1300820,"MUS 3-IB",9
1,ALACHUA,1300830,"MUS 4-IB",8
1,ALACHUA,1301000,"M/J GEN MUS 1",113
1,ALACHUA,1301020,"M/J GEN MUS 3",4
1,ALACHUA,1301310,"MUS APPREC",15
1,ALACHUA,1301320,"GUITAR 1",46
1,ALACHUA,1301330,"GUITAR 2",8
1,ALACHUA,1301360,"KEYBD 1",169
1,ALACHUA,1301370,"KEYBD 2",5
1,ALACHUA,1302000,"M/J BAND 1",492
1,ALACHUA,1302010,"M/J BAND 2",358
1,ALACHUA,1302020,"M/J BAND 3",335
1,ALACHUA,1302040,"M/J ORCH 1",42
1,ALACHUA,1302300,"BAND 1",76
1,ALACHUA,1302310,"BAND 2",81
1,ALACHUA,1302320,"BAND 3",58
1,ALACHUA,1302330,"BAND 4",48
1,ALACHUA,1302340,"BAND 5",1
1,ALACHUA,1302380,"ORCH 3",6
1,ALACHUA,1302390,"ORCH 4",18
1,ALACHUA,1302460,"INSTRU ENS 1",18
1,ALACHUA,1302470,"INSTRU ENS 2",17
1,ALACHUA,1302480,"INSTRU ENS 3",2
1,ALACHUA,1302490,"INSTRU ENS 4 HON",1
1,ALACHUA,1302500,"JAZZ ENS 1",24
1,ALACHUA,1302510,"JAZZ ENS 2",6
1,ALACHUA,1302520,"JAZZ ENS 3",4
1,ALACHUA,1302530,"JAZZ ENS 4 HON",2
1,ALACHUA,1303000,"M/J CHORUS 1",143
1,ALACHUA,1303300,"CHORUS 1",70
1,ALACHUA,1303310,"CHORUS 2",16
1,ALACHUA,1303320,"CHORUS 3",2
1,ALACHUA,1303330,"CHORUS 4",2
1,ALACHUA,1303440,"VOCAL ENS 1",18
1,ALACHUA,1303450,"VOCAL ENS 2",6
1,ALACHUA,1303460,"VOCAL ENS 3",3
1,ALACHUA,1303470,"VOCAL ENS 4 HON",2
1,ALACHUA,1305300,"EURHY 1",6
1,ALACHUA,1305310,"EURHY 2",3
1,ALACHUA,1400000,"M/J PEER COUN 1",14
1,ALACHUA,1400300,"PEER COUN 1",214
1,ALACHUA,1400310,"PEER COUN 2",75
1,ALACHUA,1400330,"PEER COUN 4",24
1,ALACHUA,1501000,"M/J PHYS FIT",114
1,ALACHUA,1501025,"M/J THROW/CATCH&CAR",14
