"Students Absent 21 or More Days by School
2014-15, Final Survey 5 - Revised as of 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
2,BAKER,32,"BAKER COUNTY MIDDLE SCHOOL",1174,338,"0,28790459965"
2,BAKER,91,"WESTSIDE ELEMENTARY SCHOOL",651,68,"0,10445468509"
2,BAKER,7023,"BAKER VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED)",*,*,*
3,BAY,61,"BAY HIGH SCHOOL",1497,213,"0,14228456913"
3,BAY,71,"MERRITT BROWN MIDDLE SCHOOL",826,153,"0,18523002421"
3,BAY,81,"HUTCHISON BEACH ELEMENTARY SCHOOL",871,133,"0,15269804822"
3,BAY,91,"CEDAR GROVE ELEMENTARY SCHOOL",595,73,"0,12268907563"
3,BAY,101,"CALLAWAY ELEMENTARY SCHOOL",674,97,"0,14391691394"
3,BAY,111,"MERRIAM CHERRY STREET ELEMENTARY",479,73,"0,15240083507"
3,BAY,131,"LUCILLE MOORE ELEMENTARY SCHOOL",713,129,"0,18092566619"
3,BAY,141,"EVERITT MIDDLE SCHOOL",733,109,"0,14870395634"
3,BAY,151,"HILAND PARK ELEMENTARY SCHOOL",981,120,"0,12232415902"
3,BAY,161,"JINKS MIDDLE SCHOOL",676,113,"0,16715976331"
3,BAY,171,"LYNN HAVEN ELEMENTARY SCHOOL",847,58,"0,06847697756"
3,BAY,191,"OAKLAND TERRACE SCHOOL FOR THE VISUAL AND PERFORMING ARTS",442,82,"0,18552036199"
3,BAY,201,"SURFSIDE MIDDLE SCHOOL",827,97,"0,11729141475"
