"Students Absent 21 or More Days by School
2012-13, Final Survey 5 - Revised 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
3,BAY,171,"LYNN HAVEN ELEMENTARY SCHOOL",798,63,"0,07894736842"
3,BAY,191,"OAKLAND TERRACE SCHOOL FOR THE VISUAL AND PERFORMING ARTS",432,80,"0,18518518518"
3,BAY,201,"SURFSIDE MIDDLE SCHOOL",972,102,"0,1049382716"
3,BAY,211,"PARKER ELEMENTARY SCHOOL",772,82,"0,10621761658"
3,BAY,221,"SOUTHPORT ELEMENTARY SCHOOL",456,48,"0,10526315789"
3,BAY,231,"SPRINGFIELD ELEMENTARY SCHOOL",620,68,"0,10967741935"
3,BAY,241,"ST. ANDREW SCHOOL",154,26,"0,16883116883"
3,BAY,251,"WALLER ELEMENTARY SCHOOL",625,95,"0,152"
3,BAY,281,"MARGARET K. LEWIS IN MILLVILLE",154,46,"0,2987012987"
3,BAY,291,"OSCAR PATTERSON ELEMENTARY MAGNET",546,67,"0,12271062271"
3,BAY,331,"MOWAT MIDDLE SCHOOL",1054,87,"0,08254269449"
3,BAY,341,"RUTHERFORD HIGH SCHOOL",1423,142,"0,09978917779"
3,BAY,461,"DEER POINT ELEMENTARY SCHOOL",530,36,"0,0679245283"
3,BAY,471,"NORTHSIDE ELEMENTARY SCHOOL",782,55,"0,07033248081"
3,BAY,491,"A. CRAWFORD MOSLEY HIGH SCHOOL",1747,143,"0,08185460789"
3,BAY,501,"TYNDALL ELEMENTARY SCHOOL",937,51,"0,05442902881"
3,BAY,511,"TOMMY SMITH ELEMENTARY SCHOOL",866,86,"0,09930715935"
3,BAY,521,"PATRONIS ELEMENTARY SCHOOL",919,90,"0,09793253536"
3,BAY,531,"NEW HORIZONS LEARNING CENTER",196,93,"0,47448979591"
3,BAY,541,"DEANE BOZEMAN SCHOOL",1347,156,"0,11581291759"
3,BAY,551,"J.R. ARNOLD HIGH SCHOOL",1591,187,"0,11753614079"
3,BAY,571,"BREAKFAST POINT ACADEMY",1337,167,"0,1249065071"
3,BAY,581,"ROSENWALD HIGH SCHOOL",380,223,"0,58684210526"
3,BAY,591,"C C WASHINGTON ACADEMY",173,94,"0,54335260115"
3,BAY,602,"BAY REGIONAL JUVENILE DETENTION CENTER",225,0,0
3,BAY,604,"PANAMA CITY MARINE INSTITUTE",176,24,"0,13636363636"
3,BAY,701,"BAY HAVEN CHARTER ACADEMY",703,10,"0,01422475106"
3,BAY,711,"BAY HAVEN CHARTER MIDDLE SCHOOL",533,1,"0,0018761726"
3,BAY,731,"NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL",343,2,"0,00583090379"
3,BAY,741,"NORTH BAY HAVEN CAREER ACADEMY",419,19,"0,04534606205"
3,BAY,751,"NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOOL",459,11,"0,02396514161"
3,BAY,771,"NEWPOINT BAY CHARTER HIGH SCHOOL",120,22,"0,18333333333"
3,BAY,781,"CHAUTAUQUA CHARTER SCHOOL",37,20,"0,54054054054"
3,BAY,791,"NEWPOINT MIDDLE SCHOOL",212,17,"0,08018867924"
3,BAY,2701,"RISING LEADERS ACADEMY",103,3,"0,02912621359"
3,BAY,2711,"UNIVERSITY ACADEMY (SABL, INC.)",145,4,"0,02758620689"
3,BAY,7001,"BAY VIRTUAL INSTRUCTION PROGRAM",70,0,0
3,BAY,7004,"BAY VIRTUAL FRANCHISE",86,1,"0,01162790697"
4,BRADFORD,21,"BRADFORD HIGH SCHOOL",858,188,"0,21911421911"
4,BRADFORD,51,"STARKE ELEMENTARY SCHOOL",561,45,"0,08021390374"
4,BRADFORD,81,"SOUTHSIDE ELEMENTARY SCHOOL",624,88,"0,14102564102"
4,BRADFORD,121,"RAINBOW CENTER",16,0,0
4,BRADFORD,131,"LAWTEY ELEMENTARY SCHOOL",246,21,"0,08536585365"
4,BRADFORD,161,"BROOKER ELEMENTARY SCHOOL",152,18,"0,11842105263"
